n	m	jnm_deri
49	6	77.332563
28	13	77.334413
74	1	77.411429
7	22	77.432906
23	15	77.449648
5	23	77.588397
16	18	77.666126
57	4	77.67517
53	5	77.687262
3	24	77.691654
1	25	77.743162
31	12	77.766825
46	7	77.847574
67	2	77.950868
21	16	78.048113
14	19	78.061385
34	11	78.07464
26	14	78.091588
43	8	78.153982
62	3	78.239841
37	10	78.249747
40	9	78.281167
12	20	78.400113
75	1	78.426585
50	6	78.475187
19	17	78.582516
29	13	78.620056
10	21	78.684036
58	4	78.774112
24	15	78.776395
54	5	78.808189
8	22	78.914549
68	2	79.00036
47	7	79.010143
32	12	79.030711
17	18	79.05601
6	23	79.092748
4	24	79.219459
2	25	79.295258
63	3	79.315037
35	11	79.317473
0	25	79.320487
44	8	79.336348
22	16	79.393496
27	14	79.395252
76	1	79.441607
15	19	79.471213
38	10	79.472079
41	9	79.483396
51	6	79.616217
13	20	79.830296
59	4	79.872037
30	13	79.901614
55	5	79.927823
20	17	79.946747
69	2	80.049392
25	15	80.098159
11	21	80.135049
48	7	80.17084
33	12	80.290975
9	22	80.386929
64	3	80.389501
18	18	80.439356
77	1	80.456498
45	8	80.516548
36	11	80.557101
7	23	80.587102
42	9	80.683141
39	10	80.691582
28	14	80.694487
23	16	80.733496
5	24	80.736469
52	6	80.755698
3	25	80.835689
16	19	80.873994
1	26	80.885192
60	4	80.968973
56	5	81.046197
70	2	81.097973
31	13	81.179236
14	20	81.252889
21	17	81.305172
49	7	81.329719
26	15	81.415134
65	3	81.46325
78	1	81.471262
34	12	81.547744
12	21	81.577886
46	8	81.694645
37	11	81.793632
19	18	81.816446
10	22	81.850504
43	9	81.880479
53	6	81.893671
40	10	81.908349
29	14	81.989459
61	4	82.064944
24	16	82.068327
8	23	82.071971
71	2	82.146115
57	5	82.163347
6	24	82.243256
17	19	82.270041
4	25	82.365093
2	26	82.437993
32	13	82.453063
0	26	82.46226
79	1	82.4859
50	7	82.486832
66	3	82.536301
22	17	82.658027
15	20	82.668237
27	15	82.727501
35	12	82.801138
47	8	82.870703
13	21	83.012931
38	11	83.027166
54	6	83.030178
44	9	83.075484
41	10	83.122465
62	4	83.159975
20	18	83.187542
72	2	83.193828
58	5	83.279302
30	14	83.280321
11	22	83.305698
25	16	83.39819
80	1	83.500416
9	23	83.547825
67	3	83.608671
51	7	83.642228
18	19	83.659643
33	13	83.723227
7	24	83.740344
5	25	83.884054
3	26	83.979541
23	17	84.005534
1	27	84.02719
28	15	84.035433
48	8	84.04478
36	12	84.051269
16	20	84.076659
55	6	84.165258
73	2	84.24112
63	4	84.254088
39	11	84.257801
45	9	84.268225
42	10	84.334013
59	5	84.394095
14	21	84.440537
81	1	84.514812
21	18	84.552888
31	14	84.567221
68	3	84.680376
26	16	84.723275
12	22	84.752903
52	7	84.795956
34	13	84.989852
10	23	85.015098
19	19	85.04307
49	8	85.216932
8	24	85.228211
74	2	85.288001
37	12	85.298244
56	6	85.298949
29	15	85.33909
64	4	85.347305
24	17	85.347902
6	25	85.393104
46	9	85.458769
17	20	85.478453
40	11	85.485627
60	5	85.507753
4	26	85.510429
82	1	85.52909
43	10	85.54307
2	27	85.580644
0	27	85.604019
69	3	85.75143
32	14	85.850297
15	21	85.861032
22	18	85.912714
53	7	85.948059
27	16	86.043758
13	22	86.19248
35	13	86.253056
75	2	86.33448
50	8	86.387213
20	19	86.420573
57	6	86.431287
65	4	86.439649
11	23	86.47419
38	12	86.542164
83	1	86.543253
61	5	86.620306
30	15	86.638625
47	9	86.647179
25	17	86.685325
9	24	86.707302
41	11	86.710732
44	10	86.749712
70	3	86.821849
18	20	86.873896
7	25	86.892735
5	26	87.031203
54	7	87.098581
3	27	87.12323
33	14	87.129678
1	28	87.169158
23	18	87.267234
16	21	87.274721
28	16	87.359806
76	2	87.380566
36	13	87.512952
66	4	87.531138
51	8	87.555674
84	1	87.557303
58	6	87.562305
14	22	87.624766
62	5	87.73178
39	12	87.783127
21	19	87.792389
48	9	87.833517
71	3	87.891647
12	23	87.92547
42	11	87.933199
31	15	87.934179
45	10	87.954009
26	17	88.017986
10	24	88.178024
55	7	88.247564
19	20	88.263246
8	25	88.383398
34	14	88.405487
77	2	88.426266
6	26	88.542362
85	1	88.571242
24	18	88.616648
67	4	88.621794
4	27	88.6555
29	16	88.671577
17	21	88.681888
59	6	88.692038
52	8	88.722365
2	28	88.72322
0	28	88.745767
37	13	88.769646
63	5	88.842201
72	3	88.960837
49	9	89.017838
40	12	89.021222
15	22	89.050073
43	11	89.153105
46	10	89.156028
